 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Der har været perioder, hvor jeg troede, det var slut, men vi er hele tiden kommet igen, og lige nu føler jeg, at vi er på toppen.
1-1	Der	der	US:----:--:----	
68-9	top	_	_	
68-10	.	_	_	

#id=69
#text= Flere af  vores i alt 12 årlige løb på distancer fra fem kilometer og op til maraton er steget med 50 procent i deltagerantal fra år til år, og vi har ikke set toppen endnu", understreger Torben Simonsen, som er løbsdirektør i HCA Marathon i Odense, som blandt andet står bag det populære Nytårsløbet med et deltagerloft 1.500 mennesker.
69-1	Flere	_	_	
69-2	af	_	_	
69-3	vores	_	_	
69-4	i	_	_	
69-5	alt	_	_	
69-6	12	_	_	
69-7	årlige	_	_	
69-8	løb	_	_	
69-9	på	_	_	
69-10	distancer	_	_	
69-11	fra	_	_	
69-12	fem	_	_	
69-13	kilometer	_	_	
69-14	og	_	_	
69-15	op	_	_	
69-16	til	_	_	
69-17	maraton	_	_	
69-18	er	_	_	
69-19	steget	_	_	
69-20	med	_	_	
69-21	50	_	_	
69-22	procent	_	_	
69-23	i	_	_	
69-24	deltagerantal	_	_	
69-25	fra	_	_	
69-26	år	_	_	
69-27	til	_	_	
69-28	år	_	_	
69-29	,	_	_	
69-30	og	_	_	
69-31	vi	_	_	
69-32	har	_	_	
69-33	ikke	_	_	
69-34	set	_	_	
69-35	toppen	_	_	
69-36	endnu	_	_	
69-37	"	_	_	
69-38	,	_	_	
69-39	understreger	_	_	
69-40	Torben	_	_	
69-41	Simonsen	_	_	
69-42	,	_	_	
69-43	som	_	_	
69-44	er	_	_	
69-45	løbsdirektør	_	_	
69-46	i	_	_	
69-47	HCA	_	_	
69-48	Marathon	_	_	
69-49	i	_	_	
69-50	Odense	_	_	
69-51	,	_	_	
69-52	som	_	_	
69-53	blandt	_	_	
69-54	andet	_	_	
69-55	står	_	_	
69-56	bag	_	_	
69-57	det	_	_	
69-58	populære	_	_	
69-59	Nytårsløbet	_	_	
69-60	med	_	_	
69-61	et	_	_	
69-62	deltagerloft	_	_	
69-63	1	_	_	
69-64	.	_	_	
69-65	500	_	_	
69-66	mennesker	_	_	
69-67	.	_	_	

#id=70
#text= Vand rigeligt, så du gennemvæder hele jorden og ikke kun toppen af planten.
70-1	Vand	_	_	
70-2	rigeligt	_	_	
70-3	,	_	_	
70-4	så	_	_	
70-5	du	_	_	
70-6	gennemvæder	_	_	
70-7	hele	_	_	
70-8	jorden	_	_	
70-9	og	_	_	
70-10	ikke	_	_	
70-11	kun	_	_	
70-12	toppen	_	_	
70-13	af	_	_	
70-14	planten	_	_	
70-15	.	_	_	

#id=71
#text="Vi tror dog på, at Erhvervs-og Byggestyrelsen gør det ekstra bureaukrati minimalt, så det bliver til at håndtere", siger Lars Storr-Hansen, der  overordnet glæder sig over, at renoveringspuljen giver omkring 4.000 fuldtidsbeskæftigede i byggebranchen og "tager toppen af ledigheden".
71-1	"	_	_	
71-2	Vi	_	_	
71-3	tror	_	_	
71-4	dog	_	_	
71-5	på	_	_	
71-6	,	_	_	
71-7	at	_	_	
71-8	Erhvervs	_	_	
71-9	-	_	_	
71-10	og	_	_	
71-11	Byggestyrelsen	_	_	
71-12	gør	_	_	
71-13	det	_	_	
71-14	ekstra	_	_	
71-15	bureaukrati	_	_	
71-16	minimalt	_	_	
71-17	,	_	_	
71-18	så	_	_	
71-19	det	_	_	
71-20	bliver	_	_	
71-21	til	_	_	
71-22	at	_	_	
71-23	håndtere	_	_	
71-24	"	_	_	
71-25	,	_	_	
71-26	siger	_	_	
71-27	Lars	_	_	
71-28	Storr	_	_	
71-29	-	_	_	
71-30	Hansen	_	_	
71-31	,	_	_	
71-32	der	_	_	
71-33	overordnet	_	_	
71-34	glæder	_	_	
71-35	sig	_	_	
71-36	over	_	_	
71-37	,	_	_	
71-38	at	_	_	
71-39	renoveringspuljen	_	_	
71-40	giver	_	_	
71-41	omkring	_	_	
71-42	4	_	_	
71-43	.	_	_	
71-44	000	_	_	
71-45	fuldtidsbeskæftigede	_	_	
71-46	i	_	_	
71-47	byggebranchen	_	_	
71-48	og	_	_	
71-49	"	_	_	
71-50	tager	_	_	
71-51	toppen	_	_	
71-52	af	_	_	
71-53	ledigheden	_	_	
71-54	"	_	_	
71-55	.	_	_	

#id=72
#text= Til overflod havde den tidligere frontfigur fra Talking Heads iklædt både sig selv og sine ti musikere og dansere pletfri snehvid fra top til tåspids.
72-1	Til	_	_	
72-2	overflod	_	_	
72-3	havde	_	_	
72-4	den	_	_	
72-5	tidligere	_	_	
72-6	frontfigur	_	_	
72-7	fra	_	_	
72-8	Talking	_	_	
72-9	Heads	_	_	
72-10	iklædt	_	_	
72-11	både	_	_	
72-12	sig	_	_	
72-13	selv	_	_	
72-14	og	_	_	
72-15	sine	_	_	
72-16	ti	_	_	
72-17	musikere	_	_	
72-18	og	_	_	
72-19	dansere	_	_	
72-20	pletfri	_	_	
72-21	snehvid	_	_	
72-22	fra	_	_	
72-23	top	_	_	
72-24	til	_	_	
72-25	tåspids	_	_	
72-26	.	_	_	

#id=73
#text= "Mens lønforhøjelserne i toppen fortsat ligger nogle hundrede procent over lønforhøjelserne i bunden, vil enhver form for kritik naturligvis blive tilskrevet kritikernes to dødssynder:
73-1	"	_	_	
73-2	Mens	_	_	
73-3	lønforhøjelserne	_	_	
73-4	i	_	_	
73-5	toppen	_	_	
73-6	fortsat	_	_	
73-7	ligger	_	_	
73-8	nogle	_	_	
73-9	hundrede	_	_	
73-10	procent	_	_	
73-11	over	_	_	
73-12	lønforhøjelserne	_	_	
73-13	i	_	_	
73-14	bunden	_	_	
73-15	,	_	_	
73-16	vil	_	_	
73-17	enhver	_	_	
73-18	form	_	_	
73-19	for	_	_	
73-20	kritik	_	_	
73-21	naturligvis	_	_	
73-22	blive	_	_	
73-23	tilskrevet	_	_	
73-24	kritikernes	_	_	
73-25	to	_	_	
73-26	dødssynder	_	_	
73-27	:	_	_	

#id=74
#text= Hun har jo trods alt fundet en måde at styre alle de der indvandrere på, og det er jo, som vi alle ved, et meget tungt løft, når vi i hverdagen står der på toppen af Himmelbjerget og forsøger at trække de dovne indvandrere derop, til tops.
74-1	Hun	_	_	
74-2	har	_	_	
74-3	jo	_	_	
74-4	trods	_	_	
74-5	alt	_	_	
74-6	fundet	_	_	
74-7	en	_	_	
74-8	måde	_	_	
74-9	at	_	_	
74-10	styre	_	_	
74-11	alle	_	_	
74-12	de	_	_	
74-13	der	_	_	
74-14	indvandrere	_	_	
74-15	på	_	_	
74-16	,	_	_	
74-17	og	_	_	
74-18	det	_	_	
74-19	er	_	_	
74-20	jo	_	_	
74-21	,	_	_	
74-22	som	_	_	
74-23	vi	_	_	
74-24	alle	_	_	
74-25	ved	_	_	
74-26	,	_	_	
74-27	et	_	_	
74-28	meget	_	_	
74-29	tungt	_	_	
74-30	løft	_	_	
74-31	,	_	_	
74-32	når	_	_	
74-33	vi	_	_	
74-34	i	_	_	
74-35	hverdagen	_	_	
74-36	står	_	_	
74-37	der	_	_	
74-38	på	_	_	
74-39	toppen	_	_	
74-40	af	_	_	
74-41	Himmelbjerget	_	_	
74-42	og	_	_	
74-43	forsøger	_	_	
74-44	at	_	_	
74-45	trække	_	_	
74-46	de	_	_	
74-47	dovne	_	_	
74-48	indvandrere	_	_	
74-49	derop	_	_	
74-50	,	_	_	
74-51	til	_	_	
74-52	tops	_	_	
74-53	.	_	_	

#id=75
#text=Marginalisering og latterliggørelse gør det nemlig muligt for os at sidde på toppen af Himmelbjerget og forsøge at trække andre op på vores niveau.
75-1	Marginalisering	_	_	
75-2	og	_	_	
75-3	latterliggørelse	_	_	
75-4	gør	_	_	
75-5	det	_	_	
75-6	nemlig	_	_	
75-7	muligt	_	_	
75-8	for	_	_	
75-9	os	_	_	
75-10	at	_	_	
75-11	sidde	_	_	
75-12	på	_	_	
75-13	toppen	_	_	
75-14	af	_	_	
75-15	Himmelbjerget	_	_	
75-16	og	_	_	
75-17	forsøge	_	_	
75-18	at	_	_	
75-19	trække	_	_	
75-20	andre	_	_	
75-21	op	_	_	
75-22	på	_	_	
75-23	vores	_	_	
75-24	niveau	_	_	
75-25	.	_	_	

#id=76
#text= oktober, når toppen af den olympiske kransekage mødes i København.
76-1	oktober	_	_	
76-2	,	_	_	
76-3	når	_	_	
76-4	toppen	_	_	
76-5	af	_	_	
76-6	den	_	_	
76-7	olympiske	_	_	
76-8	kransekage	_	_	
76-9	mødes	_	_	
76-10	i	_	_	
76-11	København	_	_	
76-12	.	_	_	

#id=77
#text="Tiden, hvor regelmæssig kirkegang stod på børnefamiliernes top-10 over søndagsfornøjelser, den tid er forbi.
77-1	"	_	_	
77-2	Tiden	_	_	
77-3	,	_	_	
77-4	hvor	_	_	
77-5	regelmæssig	_	_	
77-6	kirkegang	_	_	
77-7	stod	_	_	
77-8	på	_	_	
77-9	børnefamiliernes	_	_	
77-10	top	_	_	
77-11	-	_	_	
77-12	10	_	_	
77-13	over	_	_	
77-14	søndagsfornøjelser	_	_	
77-15	,	_	_	
77-16	den	_	_	
77-17	tid	_	_	
77-18	er	_	_	
77-19	forbi	_	_	
77-20	.	_	_	

#id=78
#text= Brøndby slog AGF 2-0 og har indhentet FCK i toppen.
78-1	Brøndby	_	_	
78-2	slog	_	_	
78-3	AGF	_	_	
78-4	2	_	_	
78-5	-	_	_	
78-6	0	_	_	
78-7	og	_	_	
78-8	har	_	_	
78-9	indhentet	_	_	
78-10	FCK	_	_	
78-11	i	i	T-:----:--:----	
78-12	toppen	_	_	
78-13	.	_	_	

#id=79
#text=Toppen af verdensøkonomien mødtes i den lille sydengelske by Horsham i weekenden.
79-1	Toppen	_	_	
79-2	af	_	_	
79-3	verdensøkonomien	_	_	
79-4	mødtes	_	_	
79-5	i	_	_	
79-6	den	_	_	
79-7	lille	_	_	
79-8	sydengelske	_	_	
79-9	by	_	_	
79-10	Horsham	_	_	
79-11	i	_	_	
79-12	weekenden	_	_	
79-13	.	_	_	

#id=80
#text=På en grøn, grøn, grøn, grøn bakke-bakke-top jeg så Bendt Bendtsen komme.
80-1	På	_	_	
80-2	en	_	_	
80-3	grøn	_	_	
80-4	,	_	_	
80-5	grøn	_	_	
80-6	,	_	_	
80-7	grøn	_	_	
80-8	,	_	_	
80-9	grøn	_	_	
80-10	bakke	_	_	
80-11	-	_	_	
80-12	bakke	_	_	
80-13	-	_	_	
80-14	top	_	_	
80-15	jeg	_	_	
80-16	så	_	_	
80-17	Bendt	_	_	
80-18	Bendtsen	_	_	
80-19	komme	_	_	
80-20	.	_	_	

#id=81
#text=På hver gratis tur med industriens top han var i deres lomme.
81-1	På	_	_	
81-2	hver	_	_	
81-3	gratis	_	_	
81-4	tur	_	_	
81-5	med	_	_	
81-6	industriens	_	_	
81-7	top	_	_	
81-8	han	_	_	
81-9	var	_	_	
81-10	i	_	_	
81-11	deres	_	_	
81-12	lomme	_	_	
81-13	.	_	_	

#id=82
#text= Efter et langt liv i toppen af dansk erhvervsliv har han valgt at trappe ned, og det er slut med de tunge poster i ØK, DFDS og det tidligere Burmeister & Wain Skibsværft.
82-1	Efter	_	_	
82-2	et	_	_	
82-3	langt	_	_	
82-4	liv	_	_	
82-5	i	_	_	
82-6	toppen	_	_	
82-7	af	_	_	
82-8	dansk	_	_	
82-9	erhvervsliv	_	_	
82-10	har	_	_	
82-11	han	_	_	
82-12	valgt	_	_	
82-13	at	_	_	
82-14	trappe	_	_	
82-15	ned	_	_	
82-16	,	_	_	
82-17	og	_	_	
82-18	det	_	_	
82-19	er	_	_	
82-20	slut	_	_	
82-21	med	_	_	
82-22	de	_	_	
82-23	tunge	_	_	
82-24	poster	_	_	
82-25	i	_	_	
82-26	ØK	_	_	
82-27	,	_	_	
82-28	DFDS	_	_	
82-29	og	_	_	
82-30	det	_	_	
82-31	tidligere	_	_	
82-32	Burmeister	_	_	
82-33	&	_	_	
82-34	Wain	_	_	
82-35	Skibsværft	_	_	
82-36	.	_	_	

#id=83
#text= Læner man sig tilbage for at nyde musikken, rammer blikket ofte toppen af de omkringliggende huse, og her spotter man næsten altid blomster og grønne gevækster, der titter op mellem skorstene og antenner.
83-1	Læner	_	_	
83-2	man	_	_	
83-3	sig	_	_	
83-4	tilbage	_	_	
83-5	for	_	_	
83-6	at	_	_	
83-7	nyde	_	_	
83-8	musikken	_	_	
83-9	,	_	_	
83-10	rammer	_	_	
83-11	blikket	_	_	
83-12	ofte	_	_	
83-13	toppen	_	_	
83-14	af	_	_	
83-15	de	_	_	
83-16	omkringliggende	_	_	
83-17	huse	_	_	
83-18	,	_	_	
83-19	og	_	_	
83-20	her	_	_	
83-21	spotter	_	_	
83-22	man	_	_	
83-23	næsten	_	_	
83-24	altid	_	_	
83-25	blomster	_	_	
83-26	og	_	_	
83-27	grønne	_	_	
83-28	gevækster	_	_	
83-29	,	,	ZD	
83-30	der	_	_	
83-31	titter	_	_	
83-32	op	_	_	
83-33	mellem	_	_	
83-34	skorstene	_	_	
83-35	og	_	_	
83-36	antenner	_	_	
83-37	.	_	_	

#id=84
#text=Udsigten, der dækker næsten 365 grader, er fantastisk, men det mest overraskende for en romfarer, der har besøgt Pantheon utallige gange og hver gang har været fascineret af det bueformede tag med det berømte hul, er, at her på toppen af Minerva står man og kigger ind på taget.
84-1	Udsigten	_	_	
84-2	,	_	_	
84-3	der	_	_	
84-4	dækker	_	_	
84-5	næsten	_	_	
84-6	365	_	_	
84-7	grader	_	_	
84-8	,	_	_	
84-9	er	_	_	
84-10	fantastisk	_	_	
84-11	,	_	_	
84-12	men	_	_	
84-13	det	_	_	
84-14	mest	_	_	
84-15	overraskende	_	_	
84-16	for	_	_	
84-17	en	_	_	
84-18	romfarer	_	_	
84-19	,	_	_	
84-20	der	_	_	
84-21	har	_	_	
84-22	besøgt	_	_	
84-23	Pantheon	_	_	
84-24	utallige	_	_	
84-25	gange	_	_	
84-26	og	_	_	
84-27	hver	_	_	
84-28	gang	_	_	
84-29	har	_	_	
84-30	været	_	_	
84-31	fascineret	_	_	
84-32	af	_	_	
84-33	det	_	_	
84-34	bueformede	_	_	
84-35	tag	_	_	
84-36	med	_	_	
84-37	det	_	_	
84-38	berømte	_	_	
84-39	hul	_	_	
84-40	,	_	_	
84-41	er	_	_	
84-42	,	_	_	
84-43	at	_	_	
84-44	her	_	_	
84-45	på	_	_	
84-46	toppen	_	_	
84-47	af	_	_	
84-48	Minerva	_	_	
84-49	står	_	_	
84-50	man	_	_	
84-51	og	_	_	
84-52	kigger	_	_	
84-53	ind	_	_	
84-54	på	_	_	
84-55	taget	_	_	
84-56	.	_	_	

#id=85
#text=Lysten til at finde flere tagterrasser har meldt sig efter besøget på taget af Pantheons nabo, og vi tager op på toppen af Den Spanske Trappe og besøger et af Roms andre meget fine hoteller - kong Frederik og dronning Ingrids yndlingshotel - Hassler.
85-1	Lysten	_	_	
85-2	til	_	_	
85-3	at	_	_	
85-4	finde	_	_	
85-5	flere	_	_	
85-6	tagterrasser	_	_	
85-7	har	_	_	
85-8	meldt	_	_	
85-9	sig	_	_	
85-10	efter	_	_	
85-11	besøget	_	_	
85-12	på	_	_	
85-13	taget	_	_	
85-14	af	_	_	
85-15	Pantheons	_	_	
85-16	nabo	_	_	
85-17	,	_	_	
85-18	og	_	_	
85-19	vi	_	_	
85-20	tager	_	_	
85-21	op	_	_	
85-22	på	_	_	
85-23	toppen	_	_	
85-24	af	_	_	
85-25	Den	_	_	
85-26	Spanske	_	_	
85-27	Trappe	_	_	
85-28	og	_	_	
85-29	besøger	_	_	
85-30	et	_	_	
85-31	af	_	_	
85-32	Roms	_	_	
85-33	andre	_	_	
85-34	meget	_	_	
85-35	fine	_	_	
85-36	hoteller	_	_	
85-37	-	_	_	
85-38	kong	_	_	
85-39	Frederik	_	_	
85-40	og	_	_	
85-41	dronning	_	_	
85-42	Ingrids	_	_	
85-43	yndlingshotel	_	_	
85-44	-	_	_	
85-45	Hassler	_	_	
85-46	.	_	_	

#id=86
#text=Rom set fra den modsatte vinkel af Colosseum og Monti kan man opleve på toppen af det eksklusive Rome Cavalieri Hilton, der ligger på højen bag Vatikanet.
86-1	Rom	_	_	
86-2	set	_	_	
86-3	fra	_	_	
86-4	den	_	_	
86-5	modsatte	_	_	
86-6	vinkel	_	_	
86-7	af	_	_	
86-8	Colosseum	_	_	
86-9	og	_	_	
86-10	Monti	_	_	
86-11	kan	_	_	
86-12	man	_	_	
86-13	opleve	_	_	
86-14	på	_	_	
86-15	toppen	_	_	
86-16	af	_	_	
86-17	det	_	_	
86-18	eksklusive	_	_	
86-19	Rome	_	_	
86-20	Cavalieri	_	_	
86-21	Hilton	_	_	
86-22	,	_	_	
86-23	der	_	_	
86-24	ligger	_	_	
86-25	på	_	_	
86-26	højen	_	_	
86-27	bag	_	_	
86-28	Vatikanet	_	_	
86-29	.	_	_	

#id=87
#text= Roms eneste trestjernede restaurant, La Pergola, der ligger på toppen af Hilton, bevogtes nemlig af en meget myndig kvinde - ikke ulig den snobbede ekspedient i ' Pretty Woman'.
87-1	Roms	_	_	
87-2	eneste	_	_	
87-3	trestjernede	_	_	
87-4	restaurant	_	_	
87-5	,	_	_	
87-6	La	_	_	
87-7	Pergola	_	_	
87-8	,	_	_	
87-9	der	_	_	
87-10	ligger	_	_	
87-11	på	_	_	
87-12	toppen	_	_	
87-13	af	_	_	
87-14	Hilton	_	_	
87-15	,	_	_	
87-16	bevogtes	_	_	
87-17	nemlig	_	_	
87-18	af	_	_	
87-19	en	_	_	
87-20	meget	_	_	
87-21	myndig	_	_	
87-22	kvinde	_	_	
87-23	-	_	_	
87-24	ikke	_	_	
87-25	ulig	_	_	
87-26	den	_	_	
87-27	snobbede	_	_	
87-28	ekspedient	_	_	
87-29	i	_	_	
87-30	'	_	_	
87-31	Pretty	_	_	
87-32	Woman	_	_	
87-33	'	_	_	
87-34	.	_	_	

#id=88
#text= Kun toppen af hans grå hår er synligt bag det røde omslag.
88-1	Kun	_	_	
88-2	toppen	_	_	
88-3	af	_	_	
88-4	hans	_	_	
88-5	grå	_	_	
88-6	hår	_	_	
88-7	er	_	_	
88-8	synligt	_	_	
88-9	bag	_	_	
88-10	det	_	_	
88-11	røde	_	_	
88-12	omslag	_	_	
88-13	.	_	_	

#id=89
#text= Anret fisken på et fad og top op med salaten.
89-1	Anret	_	_	
89-2	fisken	_	_	
89-3	på	_	_	
89-4	et	_	_	
89-5	fad	_	_	
89-6	og	_	_	
89-7	top	_	_	
89-8	op	_	_	
89-9	med	_	_	
89-10	salaten	_	_	
89-11	.	_	_	

#id=90
#text=Det har været dejligt at komme tilbage og vise sig selv frem og være med til at bringe Brøndby til tops igen".
90-1	Det	_	_	
90-2	har	_	_	
90-3	været	_	_	
90-4	dejligt	_	_	
90-5	at	_	_	
90-6	komme	_	_	
90-7	tilbage	_	_	
90-8	og	_	_	
90-9	vise	_	_	
90-10	sig	_	_	
90-11	selv	_	_	
90-12	frem	_	_	
90-13	og	_	_	
90-14	være	_	_	
90-15	med	_	_	
90-16	til	_	_	
90-17	at	_	_	
90-18	bringe	_	_	
90-19	Brøndby	_	_	
90-20	til	_	_	
90-21	tops	_	_	
90-22	igen	_	_	
90-23	"	_	_	
90-24	.	_	_	

#id=91
#text=Gæsterne fik i en periode lagt et godt tryk på  OB-forsvaret, fordi Christopher Poulsen som ny venstre back pressede højt, og fordi Ken Fagerberg var kommet ind ved siden af Frank Kristensen, så FCM hele tiden havde to mand på toppen i stedet for kun én som før  pausen.
91-1	Gæsterne	_	_	
91-2	fik	_	_	
91-3	i	_	_	
91-4	en	_	_	
91-5	periode	_	_	
91-6	lagt	_	_	
91-7	et	_	_	
91-8	godt	_	_	
91-9	tryk	_	_	
91-10	på	_	_	
91-11	OB	_	_	
91-12	-	_	_	
91-13	forsvaret	_	_	
91-14	,	_	_	
91-15	fordi	_	_	
91-16	Christopher	_	_	
91-17	Poulsen	_	_	
91-18	som	_	_	
91-19	ny	_	_	
91-20	venstre	_	_	
91-21	back	_	_	
91-22	pressede	_	_	
91-23	højt	_	_	
91-24	,	_	_	
91-25	og	_	_	
91-26	fordi	_	_	
91-27	Ken	_	_	
91-28	Fagerberg	_	_	
91-29	var	_	_	
91-30	kommet	_	_	
91-31	ind	_	D-:----:--:u---	
91-32	ved	_	_	
91-33	siden	_	_	
91-34	af	_	_	
91-35	Frank	_	_	
91-36	Kristensen	_	_	
91-37	,	_	_	
91-38	så	_	_	
91-39	FCM	_	_	
91-40	hele	_	_	
91-41	tiden	_	_	
91-42	havde	_	_	
91-43	to	_	_	
91-44	mand	_	_	
91-45	på	_	_	
91-46	toppen	_	_	
91-47	i	_	_	
91-48	stedet	_	_	
91-49	for	_	_	
91-50	kun	_	_	
91-51	én	_	_	
91-52	som	_	_	
91-53	før	_	_	
91-54	pausen	_	NC:sduc:--:----	
91-55	.	_	_	

#id=92
#text= Den tog Kjeld Hansen med damen på bordet, og han fortsatte med tre gange trumf fra toppen og Kl K.
92-1	Den	_	_	
92-2	tog	_	_	
92-3	Kjeld	_	_	
92-4	Hansen	_	_	
92-5	med	_	_	
92-6	damen	_	_	
92-7	på	_	_	
92-8	bordet	_	_	
92-9	,	_	_	
92-10	og	_	_	
92-11	han	_	_	
92-12	fortsatte	_	_	
92-13	med	_	_	
92-14	tre	_	_	
92-15	gange	_	_	
92-16	trumf	_	_	
92-17	fra	_	_	
92-18	toppen	_	_	
92-19	og	_	_	
92-20	Kl	_	_	
92-21	K	_	_	
92-22	.	_	_	

#id=93
#text="Vi skal have folk på skamlerne og Dannebrog til tops", lyder den komprimerede version af målsætningen, når den bliver formuleret af Henning Puggaard, der kom med pengene fra EKJ-fonden.
93-1	"	_	_	
93-2	Vi	_	_	
93-3	skal	_	_	
93-4	have	_	_	
93-5	folk	_	_	
93-6	på	_	_	
93-7	skamlerne	_	_	
93-8	og	_	_	
93-9	Dannebrog	_	_	
93-10	til	_	_	
93-11	tops	_	_	
93-12	"	_	_	
93-13	,	_	_	
93-14	lyder	_	_	
93-15	den	_	_	
93-16	komprimerede	_	_	
93-17	version	_	_	
93-18	af	_	_	
93-19	målsætningen	_	_	
93-20	,	_	_	
93-21	når	_	_	
93-22	den	_	_	
93-23	bliver	_	_	
93-24	formuleret	_	_	
93-25	af	_	_	
93-26	Henning	_	_	
93-27	Puggaard	_	_	
93-28	,	_	_	
93-29	der	_	_	
93-30	kom	_	_	
93-31	med	_	_	
93-32	pengene	_	_	
93-33	fra	_	_	
93-34	EKJ	_	_	
93-35	-	_	_	
93-36	fonden	_	_	
93-37	.	_	_	

#id=94
#text=Bygningen til Saxobank derimod er tegnet på toppen af finansboblen, mens fremtiden endnu tegnede lys og ekspansiv.
94-1	Bygningen	_	_	
94-2	til	_	_	
94-3	Saxobank	_	_	
94-4	derimod	_	_	
94-5	er	_	_	
94-6	tegnet	_	_	
94-7	på	_	_	
94-8	toppen	_	_	
94-9	af	_	_	
94-10	finansboblen	_	_	
94-11	,	_	_	
94-12	mens	_	_	
94-13	fremtiden	_	_	
94-14	endnu	_	_	
94-15	tegnede	_	_	
94-16	lys	_	_	
94-17	og	_	_	
94-18	ekspansiv	_	_	
94-19	.	_	_	

#id=95
#text= I toppen af sundhedssystemet.
95-1	I	_	_	
95-2	toppen	_	_	
95-3	af	_	_	
95-4	sundhedssystemet	_	_	
95-5	.	_	_	

#id=96
#text= Hæderkronede Museum Tusculanum, Syddansk Universitetsforlag, Aalborg Universitetsforlag, Akademisk forlag og Aarhus Universitetsforlag rangerer alle på laveste niveau, mens toppen af ministerpoppen er en stribe amerikanske forlag, som er helt uaktuelle som publiceringskanaler for indtil flere danske forskningsgrene.
96-1	Hæderkronede	_	_	
96-2	Museum	_	_	
96-3	Tusculanum	_	_	
96-4	,	_	_	
96-5	Syddansk	_	_	
96-6	Universitetsforlag	_	_	
96-7	,	_	_	
96-8	Aalborg	_	_	
96-9	Universitetsforlag	_	_	
96-10	,	_	_	
96-11	Akademisk	_	_	
96-12	forlag	_	_	
96-13	og	_	_	
96-14	Aarhus	_	_	
96-15	Universitetsforlag	_	_	
96-16	rangerer	_	_	
96-17	alle	_	_	
96-18	på	_	_	
96-19	laveste	_	_	
96-20	niveau	_	_	
96-21	,	_	_	
96-22	mens	_	_	
96-23	toppen	_	_	
96-24	af	_	_	
96-25	ministerpoppen	_	_	
96-26	er	_	_	
96-27	en	_	_	
96-28	stribe	_	_	
96-29	amerikanske	_	_	
96-30	forlag	_	_	
96-31	,	_	_	
96-32	som	_	_	
96-33	er	_	_	
96-34	helt	_	_	
96-35	uaktuelle	_	_	
96-36	som	_	_	
96-37	publiceringskanaler	_	_	
96-38	for	_	_	
96-39	indtil	_	_	
96-40	flere	_	_	
96-41	danske	_	_	
96-42	forskningsgrene	_	_	
96-43	.	_	_	

#id=97
#text= Alle mødedeltagerne vidste, hvad det betød - Uffe Ellemanns chancer for at nå til tops på Nato's bonede gulve var fortabt.
97-1	Alle	_	_	
97-2	mødedeltagerne	_	_	
97-3	vidste	_	_	
97-4	,	_	_	
97-5	hvad	_	_	
97-6	det	_	_	
97-7	betød	_	_	
97-8	-	_	_	
97-9	Uffe	_	_	
97-10	Ellemanns	_	_	
97-11	chancer	_	_	
97-12	for	_	_	
97-13	at	_	_	
97-14	nå	_	_	
97-15	til	_	_	
97-16	tops	_	_	
97-17	på	_	_	
97-18	Nato	_	_	
97-19	'	_	_	
97-20	s	_	_	
97-21	bonede	_	_	
97-22	gulve	_	_	
97-23	var	_	_	
97-24	fortabt	_	_	
97-25	.	_	_	

#id=98
#text= Men elevatoren virkede ikke altid, og det tog længere end de opgivne 45 sekunder at komme til tops.
98-1	Men	_	_	
98-2	elevatoren	_	_	
98-3	virkede	_	_	
98-4	ikke	_	_	
98-5	altid	_	_	
98-6	,	_	_	
98-7	og	_	_	
98-8	det	_	_	
98-9	tog	_	_	
98-10	længere	_	_	
98-11	end	_	_	
98-12	de	_	_	
98-13	opgivne	_	_	
98-14	45	_	_	
98-15	sekunder	_	_	
98-16	at	_	_	
98-17	komme	_	_	
98-18	til	_	_	
98-19	tops	_	_	
98-20	.	_	_	

#id=99
#text= Tårnets højdepunkt er dog panoramaudsigten over Kairo helt oppe fra toppen.
99-1	Tårnets	_	_	
99-2	højdepunkt	_	_	
99-3	er	_	_	
99-4	dog	_	_	
99-5	panoramaudsigten	_	_	
99-6	over	_	_	
99-7	Kairo	_	_	
99-8	helt	_	_	
99-9	oppe	_	_	
99-10	fra	_	_	
99-11	toppen	_	_	
99-12	.	_	_	

#id=100
#text= over en lang årrække og kan derfor ikke garantere, at kvaliteten fortsat er i top.
100-1	over	_	_	
100-2	en	_	_	
100-3	lang	_	_	
100-4	årrække	_	_	
100-5	og	_	_	
100-6	kan	_	_	
100-7	derfor	_	_	
100-8	ikke	_	_	
100-9	garantere	_	_	
100-10	,	_	_	
100-11	at	_	_	
100-12	kvaliteten	_	_	
100-13	fortsat	_	_	
100-14	er	_	_	
100-15	i	_	_	
100-16	top	_	_	
100-17	.	_	_	

