 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
50-5	fem	_	_	
50-6	,	_	_	
50-7	så	_	_	
50-8	vi	_	_	
50-9	kunne	_	_	
50-10	selvfølgelig	_	_	
50-11	godt	_	_	
50-12	her	_	_	
50-13	i	_	_	
50-14	dag	_	_	
50-15	bruge	_	_	
50-16	meget	_	_	
50-17	energi	_	_	
50-18	på	_	_	
50-19	,	_	_	
50-20	hvad	_	_	
50-21	Danmark	_	_	
50-22	skal	_	_	
50-23	bidrage	_	_	
50-24	med	_	_	
50-25	,	_	_	
50-26	men	_	_	
50-27	jeg	_	_	
50-28	synes	_	_	
50-29	egentlig	_	_	
50-30	,	_	_	
50-31	det	_	_	
50-32	er	_	_	
50-33	mere	_	_	
50-34	vigtigt	_	_	
50-35	at	_	_	
50-36	fokusere	_	_	
50-37	på	_	_	
50-38	at	_	_	
50-39	få	_	_	
50-40	de	_	_	
50-41	øvrige	_	_	
50-42	lande	_	_	
50-43	,	_	_	
50-44	som	_	_	
50-45	i	_	_	
50-46	dag	_	_	
50-47	ikke	_	_	
50-48	lever	_	_	
50-49	op	_	_	
50-50	til	_	_	
50-51	den	_	_	
50-52	gamle	_	_	
50-53	0	_	_	
50-54	,	_	_	
50-55	7	_	_	
50-56	målsætning	_	_	
50-57	,	_	_	
50-58	til	_	_	
50-59	at	_	_	
50-60	leve	_	_	
50-61	op	_	_	
50-62	til	_	_	
50-63	den	_	_	
50-64	gamle	_	_	
50-65	målsætning	_	_	
50-66	.	_	_	

#id=51
#text= Vi håber selvfølgelig også på her i fremtiden med alle de ting - handelsfrihed, håbet om et fuldt og frit handelsmarked, grøn vækst, klima - og alle de her initiativer, der bliver sat i gang, at det trods alt fortsat vil være sådan, at Danmark ligger i top.
51-1	Vi	_	_	
51-2	håber	_	_	
51-3	selvfølgelig	_	_	
51-4	også	_	_	
51-5	på	_	_	
51-6	her	_	_	
51-7	i	_	_	
51-8	fremtiden	_	_	
51-9	med	_	_	
51-10	alle	_	_	
51-11	de	_	_	
51-12	ting	_	_	
51-13	-	_	_	
51-14	handelsfrihed	_	_	
51-15	,	_	_	
51-16	håbet	_	_	
51-17	om	_	_	
51-18	et	_	_	
51-19	fuldt	_	_	
51-20	og	_	_	
51-21	frit	_	_	
51-22	handelsmarked	_	_	
51-23	,	_	_	
51-24	grøn	_	_	
51-25	vækst	_	_	
51-26	,	_	_	
51-27	klima	_	_	
51-28	-	_	_	
51-29	og	_	_	
51-30	alle	_	_	
51-31	de	_	_	
51-32	her	_	_	
51-33	initiativer	_	_	
51-34	,	_	_	
51-35	der	_	_	
51-36	bliver	_	_	
51-37	sat	_	_	
51-38	i	_	_	
51-39	gang	_	_	
51-40	,	_	_	
51-41	at	_	_	
51-42	det	_	_	
51-43	trods	_	_	
51-44	alt	_	_	
51-45	fortsat	_	_	
51-46	vil	_	_	
51-47	være	_	_	
51-48	sådan	_	_	
51-49	,	_	_	
51-50	at	_	_	
51-51	Danmark	_	_	
51-52	ligger	_	_	
51-53	i	_	_	
51-54	top	_	_	
51-55	.	_	_	

#id=52
#text=Der er temmelig store gevinster ved at installere disse onlinemålere, dels for Energinet.dk, som ikke behøver at have samme reservekapacitet eller backup kørende, dels for det enkelte netselskab og dels for forbrugerne, for der er god økonomi i at tage toppen af strømfluktuationerne og dermed også prisspidserne.
52-1	Der	_	_	
52-2	er	_	_	
52-3	temmelig	_	_	
52-4	store	_	_	
52-5	gevinster	_	_	
52-6	ved	_	_	
52-7	at	_	_	
52-8	installere	_	_	
52-9	disse	_	_	
52-10	onlinemålere	_	_	
52-11	,	_	_	
52-12	dels	_	_	
52-13	for	_	_	
52-14	Energinet	_	_	
52-15	.	_	_	
52-16	dk	_	_	
52-17	,	_	_	
52-18	som	_	_	
52-19	ikke	_	_	
52-20	behøver	_	_	
52-21	at	_	_	
52-22	have	_	_	
52-23	samme	_	_	
52-24	reservekapacitet	_	_	
52-25	eller	_	_	
52-26	backup	_	_	
52-27	kørende	_	_	
52-28	,	_	_	
52-29	dels	_	_	
52-30	for	for	_	
52-31	det	_	_	
52-32	enkelte	_	_	
52-33	netselskab	_	_	
52-34	og	_	_	
52-35	dels	_	_	
52-36	for	_	_	
52-37	forbrugerne	_	_	
52-38	,	_	_	
52-39	for	_	_	
52-40	der	_	_	
52-41	er	_	_	
52-42	god	_	_	
52-43	økonomi	_	_	
52-44	i	_	_	
52-45	at	_	_	
52-46	tage	_	_	
52-47	toppen	_	_	
52-48	af	_	_	
52-49	strømfluktuationerne	_	_	
52-50	og	_	_	
52-51	dermed	_	_	
52-52	også	_	_	
52-53	prisspidserne	_	_	
52-54	.	_	_	

#id=53
#text= Så der er koordination fra bund til top på det lokale niveau, og netværk, samarbejde og lokale engagementer er nøgleordene for arbejdet.
53-1	Så	_	_	
53-2	der	_	_	
53-3	er	_	_	
53-4	koordination	_	_	
53-5	fra	_	_	
53-6	bund	_	_	
53-7	til	_	_	
53-8	top	_	_	
53-9	på	_	_	
53-10	det	_	_	
53-11	lokale	_	_	
53-12	niveau	_	_	
53-13	,	_	_	
53-14	og	_	_	
53-15	netværk	_	_	
53-16	,	_	_	
53-17	samarbejde	_	_	
53-18	og	_	_	
53-19	lokale	_	_	
53-20	engagementer	_	_	
53-21	er	_	_	
53-22	nøgleordene	_	_	
53-23	for	_	_	
53-24	arbejdet	_	_	
53-25	.	_	_	

#id=54
#text=Så Det Konservative Folkeparti er meget tilfreds med det resultat, som vi står med her, og regeringens vision for udviklingen af landdistrikterne er helt i top.
54-1	Så	_	_	
54-2	Det	_	_	
54-3	Konservative	_	_	
54-4	Folkeparti	_	_	
54-5	er	_	_	
54-6	meget	_	_	
54-7	tilfreds	_	_	
54-8	med	_	_	
54-9	det	_	_	
54-10	resultat	_	_	
54-11	,	_	_	
54-12	som	_	_	
54-13	vi	_	_	
54-14	står	_	_	
54-15	med	_	_	
54-16	her	_	_	
54-17	,	_	_	
54-18	og	_	_	
54-19	regeringens	_	_	
54-20	vision	_	_	
54-21	for	_	_	
54-22	udviklingen	_	_	
54-23	af	_	_	
54-24	landdistrikterne	_	_	
54-25	er	_	_	
54-26	helt	_	_	
54-27	i	_	_	
54-28	top	_	_	
54-29	.	_	_	

#id=55
#text= Vi synes, man måske skulle kigge lidt mere på Island, hvor ministrene er gået forrest med hensyn til at nedsætte deres pensioner,  fordi de siger, at man generelt i samfundet bør sænke niveauet og droppe den her drift mod, at alle i toppen bare skal have mere og mere, og at det så er dem i bunden, der skal undgælde.
55-1	Vi	_	_	
55-2	synes	_	_	
55-3	,	_	_	
55-4	man	_	_	
55-5	måske	_	_	
55-6	skulle	_	_	
55-7	kigge	_	_	
55-8	lidt	_	_	
55-9	mere	_	_	
55-10	på	_	_	
55-11	Island	_	_	
55-12	,	_	_	
55-13	hvor	_	_	
55-14	ministrene	_	_	
55-15	er	_	_	
55-16	gået	_	_	
55-17	forrest	_	_	
55-18	med	_	_	
55-19	hensyn	_	_	
55-20	til	_	_	
55-21	at	_	_	
55-22	nedsætte	_	_	
55-23	deres	_	_	
55-24	pensioner	_	_	
55-25	,	_	_	
55-26	fordi	_	_	
55-27	de	_	_	
55-28	siger	_	_	
55-29	,	_	_	
55-30	at	_	_	
55-31	man	_	_	
55-32	generelt	_	_	
55-33	i	_	_	
55-34	samfundet	_	_	
55-35	bør	_	_	
55-36	sænke	_	_	
55-37	niveauet	_	_	
55-38	og	_	_	
55-39	droppe	_	_	
55-40	den	_	_	
55-41	her	_	_	
55-42	drift	_	_	
55-43	mod	_	_	
55-44	,	_	_	
55-45	at	_	_	
55-46	alle	_	_	
55-47	i	_	_	
55-48	toppen	_	_	
55-49	bare	_	_	
55-50	skal	_	_	
55-51	have	_	_	
55-52	mere	_	_	
55-53	og	_	_	
55-54	mere	_	_	
55-55	,	_	_	
55-56	og	_	_	
55-57	at	_	_	
55-58	det	_	_	
55-59	så	_	_	
55-60	er	_	_	
55-61	dem	_	_	
55-62	i	_	_	
55-63	bunden	_	_	
55-64	,	_	_	
55-65	der	_	_	
55-66	skal	_	_	
55-67	undgælde	_	_	
55-68	.	_	_	

#id=56
#text=Danmark har nu påtaget sig hele 30 pct. vedvarende energi i 2020, og dermed er Danmark helt i top med vedvarende energi - ligesom vi også på områderne for biler, boliger og landbrug har påtaget os at reducere vores udledninger af CO2 med 20 pct.
56-1	Danmark	_	_	
56-2	har	_	_	
56-3	nu	_	_	
56-4	påtaget	_	_	
56-5	sig	_	_	
56-6	hele	_	_	
56-7	30	_	_	
56-8	pct	_	_	
56-9	.	_	_	
56-10	vedvarende	_	_	
56-11	energi	_	_	
56-12	i	_	_	
56-13	2020	_	_	
56-14	,	_	_	
56-15	og	_	_	
56-16	dermed	_	_	
56-17	er	_	_	
56-18	Danmark	_	_	
56-19	helt	_	_	
56-20	i	_	_	
56-21	top	_	_	
56-22	med	_	_	
56-23	vedvarende	_	_	
56-24	energi	_	_	
56-25	-	_	_	
56-26	ligesom	_	_	
56-27	vi	_	_	
56-28	også	_	_	
56-29	på	_	_	
56-30	områderne	_	_	
56-31	for	_	_	
56-32	biler	_	_	
56-33	,	_	_	
56-34	boliger	_	_	
56-35	og	_	_	
56-36	landbrug	_	_	
56-37	har	_	_	
56-38	påtaget	_	_	
56-39	os	_	_	
56-40	at	_	_	
56-41	reducere	_	_	
56-42	vores	_	_	
56-43	udledninger	_	_	
56-44	af	_	_	
56-45	CO2	_	_	
56-46	med	_	_	
56-47	20	_	_	
56-48	pct	_	_	
56-49	.	_	_	

#id=57
#text= Det er vi, for vi ligger i toppen både med hensyn til den procentvise udbygning af den vedvarende energi, også selv om vi er et af de lande, der allerede har gjort mest, og med hensyn til reduktioner uden for kvote.
57-1	Det	_	_	
57-2	er	_	_	
57-3	vi	_	_	
57-4	,	_	_	
57-5	for	_	_	
57-6	vi	_	_	
57-7	ligger	_	_	
57-8	i	_	_	
57-9	toppen	_	_	
57-10	både	_	_	
57-11	med	_	_	
57-12	hensyn	_	_	
57-13	til	_	_	
57-14	den	_	_	
57-15	procentvise	_	_	
57-16	udbygning	_	_	
57-17	af	_	_	
57-18	den	_	_	
57-19	vedvarende	_	_	
57-20	energi	_	_	
57-21	,	_	_	
57-22	også	_	_	
57-23	selv	_	_	
57-24	om	_	_	
57-25	vi	_	_	
57-26	er	_	_	
57-27	et	_	_	
57-28	af	_	_	
57-29	de	_	_	
57-30	lande	_	_	
57-31	,	_	_	
57-32	der	_	_	
57-33	allerede	_	_	
57-34	har	_	_	
57-35	gjort	_	_	
57-36	mest	_	_	
57-37	,	_	_	
57-38	og	_	_	
57-39	med	_	_	
57-40	hensyn	_	_	
57-41	til	_	_	
57-42	reduktioner	_	_	
57-43	uden	_	_	
57-44	for	_	_	
57-45	kvote	_	_	
57-46	.	_	_	

#id=58
#text= Når de ser op på samfundets top, ser de, at man dér begår ulovligheder uden konsekvenser.
58-1	Når	_	_	
58-2	de	_	_	
58-3	ser	_	_	
58-4	op	_	_	
58-5	på	_	_	
58-6	samfundets	_	_	
58-7	top	_	_	
58-8	,	_	_	
58-9	ser	_	_	
58-10	de	_	_	
58-11	,	_	_	
58-12	at	_	_	
58-13	man	_	_	
58-14	dér	_	_	
58-15	begår	_	_	
58-16	ulovligheder	_	_	
58-17	uden	_	_	
58-18	konsekvenser	_	_	
58-19	.	_	_	

#id=59
#text= Vi kan være stolte af den danske sundhedsforskning, som ligger i top internationalt målt på antal citationer og publikationer pr. indbygger.
59-1	Vi	_	_	
59-2	kan	_	_	
59-3	være	_	_	
59-4	stolte	_	_	
59-5	af	_	_	
59-6	den	_	_	
59-7	danske	_	_	
59-8	sundhedsforskning	_	_	
59-9	,	_	_	
59-10	som	_	_	
59-11	ligger	_	_	
59-12	i	_	_	
59-13	top	_	_	
59-14	internationalt	_	_	
59-15	målt	_	_	
59-16	på	_	_	
59-17	antal	_	_	
59-18	citationer	_	_	
59-19	og	_	_	
59-20	publikationer	_	_	
59-21	pr	_	_	
59-22	.	_	_	
59-23	indbygger	_	_	
59-24	.	_	_	

#id=60
#text= At man så insisterer på, at der skal stå, at det netop er regeringen alene, der har gjort noget på det her område sammen med Dansk Folkeparti, er jo i hvert fald ikke at række hånden ud til brede aftaler om det, vi alle er enige om, nemlig at man skal være helt i top i dansk kræftbehandling.
60-1	At	_	_	
60-2	man	_	_	
60-3	så	_	_	
60-4	insisterer	_	_	
60-5	på	_	_	
60-6	,	_	_	
60-7	at	_	_	
60-8	der	_	_	
60-9	skal	_	_	
60-10	stå	_	_	
60-11	,	_	_	
60-12	at	_	_	
60-13	det	_	_	
60-14	netop	_	_	
60-15	er	_	_	
60-16	regeringen	_	_	
60-17	alene	_	_	
60-18	,	_	_	
60-19	der	_	_	
60-20	har	_	_	
60-21	gjort	_	_	
60-22	noget	_	_	
60-23	på	_	_	
60-24	det	_	_	
60-25	her	_	_	
60-26	område	_	_	
60-27	sammen	_	_	
60-28	med	_	_	
60-29	Dansk	_	_	
60-30	Folkeparti	_	_	
60-31	,	_	_	
60-32	er	_	_	
60-33	jo	_	_	
60-34	i	_	_	
60-35	hvert	_	_	
60-36	fald	_	_	
60-37	ikke	_	_	
60-38	at	_	_	
60-39	række	_	_	
60-40	hånden	_	_	
60-41	ud	_	_	
60-42	til	_	_	
60-43	brede	_	_	
60-44	aftaler	_	_	
60-45	om	_	_	
60-46	det	_	_	
60-47	,	_	_	
60-48	vi	_	_	
60-49	alle	_	_	
60-50	er	_	_	
60-51	enige	_	_	
60-52	om	_	_	
60-53	,	_	_	
60-54	nemlig	_	_	
60-55	at	_	_	
60-56	man	_	_	
60-57	skal	_	_	
60-58	være	_	_	
60-59	helt	_	_	
60-60	i	_	_	
60-61	top	_	_	
60-62	i	_	_	
60-63	dansk	_	_	
60-64	kræftbehandling	_	_	
60-65	.	_	_	

#id=61
#text=Når det så er nogle i toppen af samfundet, der begår lovovertrædelser, er der ikke nogen, der siger, at det er deres forældres skyld.
61-1	Når	_	_	
61-2	det	_	_	
61-3	så	_	_	
61-4	er	_	_	
61-5	nogle	_	_	
61-6	i	_	_	
61-7	toppen	_	_	
61-8	af	_	_	
61-9	samfundet	_	_	
61-10	,	_	_	
61-11	der	_	_	
61-12	begår	_	_	
61-13	lovovertrædelser	_	_	
61-14	,	_	_	
61-15	er	_	_	
61-16	der	_	_	
61-17	ikke	_	_	
61-18	nogen	_	_	
61-19	,	_	_	
61-20	der	_	_	
61-21	siger	_	_	
61-22	,	_	_	
61-23	at	_	_	
61-24	det	_	_	
61-25	er	_	_	
61-26	deres	_	_	
61-27	forældres	_	_	
61-28	skyld	_	_	
61-29	.	_	_	

#id=62
#text=Hvordan er det, man forestiller sig, at vi kan undgå, at dem i toppen begår forbrydelser?
62-1	Hvordan	_	_	
62-2	er	_	_	
62-3	det	_	_	
62-4	,	_	_	
62-5	man	_	_	
62-6	forestiller	_	_	
62-7	sig	_	_	
62-8	,	_	_	
62-9	at	_	_	
62-10	vi	_	_	
62-11	kan	_	_	
62-12	undgå	_	_	
62-13	,	_	_	
62-14	at	_	_	
62-15	dem	_	_	
62-16	i	_	_	
62-17	toppen	_	_	
62-18	begår	_	_	
62-19	forbrydelser	_	_	
62-20	?	_	_	

#id=63
#text= Det kunne være, man skulle begynde at overveje, at hvis vi gerne vil have et samfund, hvor man forstår, at det er forkert at overtræde loven, at dem i toppen så skal være nogle gode rollemodeller og ikke selv skal lave lovovertrædelser.
63-1	Det	_	_	
63-2	kunne	_	_	
63-3	være	_	_	
63-4	,	_	_	
63-5	man	_	_	
63-6	skulle	_	_	
63-7	begynde	_	_	
63-8	at	_	_	
63-9	overveje	_	_	
63-10	,	_	_	
63-11	at	_	_	
63-12	hvis	_	_	
63-13	vi	_	_	
63-14	gerne	_	_	
63-15	vil	_	_	
63-16	have	_	_	
63-17	et	_	_	
63-18	samfund	_	_	
63-19	,	_	_	
63-20	hvor	_	_	
63-21	man	_	_	
63-22	forstår	_	_	
63-23	,	_	_	
63-24	at	_	_	
63-25	det	_	_	
63-26	er	_	_	
63-27	forkert	_	_	
63-28	at	_	_	
63-29	overtræde	_	_	
63-30	loven	_	_	
63-31	,	_	_	
63-32	at	_	_	
63-33	dem	_	_	
63-34	i	_	_	
63-35	toppen	_	_	
63-36	så	_	_	
63-37	skal	_	_	
63-38	være	_	_	
63-39	nogle	_	_	
63-40	gode	_	_	
63-41	rollemodeller	_	_	
63-42	og	_	_	
63-43	ikke	_	_	
63-44	selv	_	_	
63-45	skal	_	_	
63-46	lave	_	_	
63-47	lovovertrædelser	_	_	
63-48	.	_	_	

#id=64
#text=Jeg synes, det er lidt mærkeligt, at Dansk Folkeparti, der igen og igen taler om, hvor vigtigt det er med konsekvens, overhovedet ikke mener, at det har nogen som helst betydning, at der er konsekvens, når det er dem i toppen af samfundet, der begår lovovertrædelser.
64-1	Jeg	_	_	
64-2	synes	_	_	
64-3	,	_	_	
64-4	det	_	_	
64-5	er	_	_	
64-6	lidt	_	_	
64-7	mærkeligt	_	_	
64-8	,	_	_	
64-9	at	_	_	
64-10	Dansk	_	_	
64-11	Folkeparti	_	_	
64-12	,	_	_	
64-13	der	_	_	
64-14	igen	_	_	
64-15	og	_	_	
64-16	igen	_	_	
64-17	taler	_	_	
64-18	om	_	_	
64-19	,	_	_	
64-20	hvor	_	_	
64-21	vigtigt	_	_	
64-22	det	_	_	
64-23	er	_	_	
64-24	med	_	_	
64-25	konsekvens	_	_	
64-26	,	_	_	
64-27	overhovedet	_	_	
64-28	ikke	_	_	
64-29	mener	_	_	
64-30	,	_	_	
64-31	at	_	_	
64-32	det	_	_	
64-33	har	_	_	
64-34	nogen	_	_	
64-35	som	_	_	
64-36	helst	_	_	
64-37	betydning	_	_	
64-38	,	_	_	
64-39	at	_	_	
64-40	der	_	_	
64-41	er	_	_	
64-42	konsekvens	_	_	
64-43	,	_	_	
64-44	når	_	_	
64-45	det	_	_	
64-46	er	_	_	
64-47	dem	_	_	
64-48	i	_	_	
64-49	toppen	_	_	
64-50	af	_	_	
64-51	samfundet	_	_	
64-52	,	_	_	
64-53	der	_	_	
64-54	begår	_	_	
64-55	lovovertrædelser	_	_	
64-56	.	_	_	

#id=65
#text= Og vi ved jo, at de tal, vi ser i den her statistik, kun er toppen af isbjerget.
65-1	Og	_	_	
65-2	vi	_	_	
65-3	ved	_	_	
65-4	jo	_	_	
65-5	,	_	_	
65-6	at	_	_	
65-7	de	_	_	
65-8	tal	_	_	
65-9	,	_	_	
65-10	vi	_	_	
65-11	ser	_	_	
65-12	i	_	_	
65-13	den	_	_	
65-14	her	_	_	
65-15	statistik	_	_	
65-16	,	_	_	
65-17	kun	_	_	
65-18	er	_	_	
65-19	toppen	_	_	
65-20	af	_	_	
65-21	isbjerget	_	_	
65-22	.	_	_	

#id=66
#text= For når man kommer ind på et hold, hvor den faglige spændvidde ikke er så stor, er der alt andet lige bedre forudsætning for den enkelte lærer til at målrette undervisningen til den enkelte elev - det gælder både i toppen, i midten og i bunden.
66-1	For	_	_	
66-2	når	_	_	
66-3	man	_	_	
66-4	kommer	_	_	
66-5	ind	_	_	
66-6	på	_	_	
66-7	et	_	_	
66-8	hold	_	_	
66-9	,	_	_	
66-10	hvor	_	_	
66-11	den	_	_	
66-12	faglige	_	_	
66-13	spændvidde	_	_	
66-14	ikke	_	_	
66-15	er	_	_	
66-16	så	_	_	
66-17	stor	_	_	
66-18	,	_	_	
66-19	er	_	_	
66-20	der	_	_	
66-21	alt	_	_	
66-22	andet	_	_	
66-23	lige	_	_	
66-24	bedre	_	_	
66-25	forudsætning	_	_	
66-26	for	_	_	
66-27	den	_	_	
66-28	enkelte	_	_	
66-29	lærer	_	_	
66-30	til	_	_	
66-31	at	_	_	
66-32	målrette	_	_	
66-33	undervisningen	_	_	
66-34	til	_	_	
66-35	den	_	_	
66-36	enkelte	_	_	
66-37	elev	_	_	
66-38	-	_	_	
66-39	det	_	_	
66-40	gælder	_	_	
66-41	både	_	_	
66-42	i	_	_	
66-43	toppen	_	_	
66-44	,	_	_	
66-45	i	_	_	
66-46	midten	_	_	
66-47	og	_	_	
66-48	i	_	_	
66-49	bunden	_	_	
66-50	.	_	_	

#id=67
#text= Vi er et af de lande i OECD, der bruger flest penge på dagtilbudsområdet, og når vi måler brugertilfredsheden, er den også i top.
67-1	Vi	_	_	
67-2	er	_	_	
67-3	et	_	_	
67-4	af	_	_	
67-5	de	_	_	
67-6	lande	_	_	
67-7	i	_	_	
67-8	OECD	_	_	
67-9	,	_	_	
67-10	der	_	_	
67-11	bruger	_	_	
67-12	flest	_	_	
67-13	penge	_	_	
67-14	på	_	_	
67-15	dagtilbudsområdet	_	_	
67-16	,	_	_	
67-17	og	_	_	
67-18	når	_	_	
67-19	vi	_	_	
67-20	måler	_	_	
67-21	brugertilfredsheden	_	_	
67-22	,	_	_	
67-23	er	_	_	
67-24	den	_	_	
67-25	også	_	_	
67-26	i	_	_	
67-27	top	_	_	
67-28	.	_	_	

#id=68
#text= Når det samlede billede stod klart, skulle grupper på overførselsindkomst som minimum være  kompenseret for stigende afgifter og andre finansieringselementer, og bunden af indkomstskalaen var vigtigere end toppen.
68-1	Når	_	_	
68-2	det	_	_	
68-3	samlede	_	_	
68-4	billede	_	_	
68-5	stod	_	_	
68-6	klart	_	_	
68-7	,	_	_	
68-8	skulle	_	_	
68-9	grupper	_	_	
68-10	på	_	_	
68-11	overførselsindkomst	_	_	
68-12	som	_	_	
68-13	minimum	_	_	
68-14	være	_	_	
68-15	kompenseret	_	_	
68-16	for	_	_	
68-17	stigende	_	_	
68-18	afgifter	_	_	
68-19	og	_	_	
68-20	andre	_	_	
68-21	finansieringselementer	_	_	
68-22	,	_	_	
68-23	og	_	_	
68-24	bunden	_	_	
68-25	af	_	_	
68-26	indkomstskalaen	_	_	
68-27	var	_	_	
68-28	vigtigere	_	_	
68-29	end	_	_	
68-30	toppen	_	_	
68-31	.	_	_	

#id=69
#text= Men lad os da sige 1.000 kr. i bunden og 16.400 kr. i toppen.
69-1	Men	_	_	
69-2	lad	_	_	
69-3	os	_	_	
69-4	da	_	_	
69-5	sige	_	_	
69-6	1	_	_	
69-7	.	_	_	
69-8	000	_	_	
69-9	kr	_	_	
69-10	.	_	_	
69-11	i	_	_	
69-12	bunden	_	_	
69-13	og	_	_	
69-14	16	_	_	
69-15	.	_	_	
69-16	400	_	_	
69-17	kr	_	_	
69-18	.	_	_	
69-19	i	_	_	
69-20	toppen	_	_	
69-21	.	_	_	

#id=70
#text= Der skulle gives mere i bunden end i toppen.
70-1	Der	_	_	
70-2	skulle	_	_	
70-3	gives	_	_	
70-4	mere	_	_	
70-5	i	_	_	
70-6	bunden	_	_	
70-7	end	_	_	
70-8	i	_	_	
70-9	toppen	_	_	
70-10	.	_	_	

#id=71
#text= Danmark ligger i top i forhold til at have mennesker, der dør på grund af narko.
71-1	Danmark	_	_	
71-2	ligger	_	_	
71-3	i	_	_	
71-4	top	_	_	
71-5	i	_	_	
71-6	forhold	_	_	
71-7	til	_	_	
71-8	at	_	_	
71-9	have	_	_	
71-10	mennesker	_	_	
71-11	,	_	_	
71-12	der	_	_	
71-13	dør	_	_	
71-14	på	_	_	
71-15	grund	_	_	
71-16	af	_	_	
71-17	narko	_	_	
71-18	.	_	_	

#id=72
#text=Derfor er vi nødt til at være fuldstændig oprigtige og sige, at det, vi magter politisk, er at tage toppen af en negativ udvikling i forhold til beskæftigelsessituationen, men at der ikke findes den trylleformular, der gør, at krisen kan gå uberørt hen over Danmark.
72-1	Derfor	_	_	
72-2	er	_	_	
72-3	vi	_	_	
72-4	nødt	_	_	
72-5	til	_	_	
72-6	at	_	_	
72-7	være	_	_	
72-8	fuldstændig	_	_	
72-9	oprigtige	_	_	
72-10	og	_	_	
72-11	sige	_	_	
72-12	,	_	_	
72-13	at	_	_	
72-14	det	_	_	
72-15	,	_	_	
72-16	vi	_	_	
72-17	magter	_	_	
72-18	politisk	_	_	
72-19	,	_	_	
72-20	er	_	_	
72-21	at	_	_	
72-22	tage	_	_	
72-23	toppen	_	_	
72-24	af	_	_	
72-25	en	_	_	
72-26	negativ	_	_	
72-27	udvikling	_	_	
72-28	i	_	_	
72-29	forhold	_	_	
72-30	til	_	_	
72-31	beskæftigelsessituationen	_	_	
72-32	,	_	_	
72-33	men	_	_	
72-34	at	_	_	
72-35	der	_	_	
72-36	ikke	_	_	
72-37	findes	_	_	
72-38	den	_	_	
72-39	trylleformular	_	_	
72-40	,	_	_	
72-41	der	_	_	
72-42	gør	_	_	
72-43	,	_	_	
72-44	at	_	_	
72-45	krisen	_	_	
72-46	kan	_	_	
72-47	gå	_	_	
72-48	uberørt	_	_	
72-49	hen	_	_	
72-50	over	_	_	
72-51	Danmark	_	_	
72-52	.	_	_	

#id=73
#text= Danmark er gentagne gange blevet vurderet til at være blandt de lande i verden, hvor det er bedst at starte ny virksomhed, hvor investeringsklimaet er i top.
73-1	Danmark	_	_	
73-2	er	_	_	
73-3	gentagne	_	_	
73-4	gange	_	_	
73-5	blevet	_	_	
73-6	vurderet	_	_	
73-7	til	_	_	
73-8	at	_	_	
73-9	være	_	_	
73-10	blandt	_	_	
73-11	de	_	_	
73-12	lande	_	_	
73-13	i	_	_	
73-14	verden	_	_	
73-15	,	_	_	
73-16	hvor	_	_	
73-17	det	_	_	
73-18	er	_	_	
73-19	bedst	_	_	
73-20	at	_	_	
73-21	starte	_	_	
73-22	ny	_	_	
73-23	virksomhed	_	_	
73-24	,	,	ZD	
73-25	hvor	_	_	
73-26	investeringsklimaet	_	_	
73-27	er	_	_	
73-28	i	_	_	
73-29	top	_	_	
73-30	.	_	_	

#id=74
#text=Det, vi jo i hvert fald kan konstatere, er ifølge Berlingske Tidende den 20. marts, at Danmark ligger helt i top, hvad angår narkodødsfald.
74-1	Det	_	_	
74-2	,	_	_	
74-3	vi	_	_	
74-4	jo	_	_	
74-5	i	_	_	
74-6	hvert	_	_	
74-7	fald	_	_	
74-8	kan	_	_	
74-9	konstatere	_	_	
74-10	,	,	ZD	
74-11	er	_	_	
74-12	ifølge	_	_	
74-13	Berlingske	_	_	
74-14	Tidende	_	_	
74-15	den	_	_	
74-16	20	_	_	
74-17	.	_	_	
74-18	marts	_	_	
74-19	,	_	_	
74-20	at	_	_	
74-21	Danmark	_	_	
74-22	ligger	_	_	
74-23	helt	_	_	
74-24	i	_	_	
74-25	top	_	_	
74-26	,	_	_	
74-27	hvad	_	_	
74-28	angår	_	_	
74-29	narkodødsfald	_	_	
74-30	.	_	_	

#id=75
#text= Landet er i gang med en islamisering fra top til bund, og det er i virkeligheden det, der er det dybt bekymrende, for hvordan reagerer Tyrkiet på de forhandlinger, der i øjeblikket finder sted?
75-1	Landet	_	_	
75-2	er	_	_	
75-3	i	_	_	
75-4	gang	_	_	
75-5	med	_	_	
75-6	en	_	_	
75-7	islamisering	_	_	
75-8	fra	_	_	
75-9	top	_	_	
75-10	til	_	_	
75-11	bund	_	_	
75-12	,	_	_	
75-13	og	_	_	
75-14	det	_	_	
75-15	er	_	_	
75-16	i	_	_	
75-17	virkeligheden	_	_	
75-18	det	_	_	
75-19	,	_	_	
75-20	der	_	_	
75-21	er	_	_	
75-22	det	_	_	
75-23	dybt	_	_	
75-24	bekymrende	_	_	
75-25	,	_	_	
75-26	for	_	_	
75-27	hvordan	_	_	
75-28	reagerer	_	_	
75-29	Tyrkiet	_	_	
